acid,epoxide,tg,std
Cc1cnn(CCC(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1,CCCCn1c(=O)c(C(=O)Nc2cccc(OCC3CO3)c2)c(OCC2CO2)c2ccccc21,452.3424,20.1449
CC1(C)CCCN(CC(=O)N(CCC(=O)O)CCC(=O)O)C1,COc1ccc(NC(=O)C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cn1,423.2043,21.6438
O=C(O)CCN(CCC(=O)O)C(=O)Nc1ccccc1C(=O)N1CCCCC1,COc1cccnc1NC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,473.4326,24.0885
Cc1oc(C(=O)N(CCCOCC(=O)O)Cc2ccccc2)cc1COCC(=O)O,COc1cccc(CCC(=O)Nc2ccc(COCC3CO3)c(COCC3CO3)c2)c1,405.2084,24.8996
O=C(O)CCC(CCC(=O)O)C(=O)N1CCC(CCCN2CCCC2)CC1,COc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1C,381.4099,20.2274
Cc1cccc(CNC(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1,COc1cc(NC(=O)N(CC2CO2)CC2CO2)cc(OC)c1OC,449.1942,18.4822
O=C(O)CCC(CCC(=O)O)C(=O)Nc1ccc2ccoc2c1,CCOCCCNC(=O)c1c(OCC2CO2)cccc1OCC1CO1,428.7824,27.2736
COc1cccc(COc2cccc(NC(=O)N(CCOCC(=O)O)CCOCC(=O)O)c2C)c1,COc1ccccc1CC(C)NC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,407.7048,24.9993
O=C(O)COCC#Cc1cccc(C(=O)OCCCOCC(=O)O)c1,Cc1cc(C(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)n(C)n1,416.1227,23.4763
O=C(O)CCN(CCC(=O)O)C(=O)NCCC1CCCCC1,COC(=O)c1ccccc1C(=O)NC(COCC1CO1)COCC1CO1,409.6433,27.575
CCn1c(=O)c(=O)n(CC(=O)N(CCC(=O)O)CCC(=O)O)c2ccccc21,COC(=O)COc1ccc(C(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,397.0229,6.6478
O=C(O)COCCCCCNC(=O)COCC(=O)O,O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(OCC2CO2)cc1OCC1CO1,369.7929,7.8534
CC(C)CC(NC(=O)Nc1ccc(C(=O)O)cc1)C(=O)O,Cc1cc(NC(=O)CCCC2CO2)ccc1NC(=O)CCCC1CO1,446.7381,14.7336
CC(=O)Nc1ccc(CN2CCC(NC(=O)C(CCC(=O)O)CCC(=O)O)CC2)cc1,COc1cc(NC(=O)c2ccc(OCC3CO3)c(C)c2)cc(OCC2CO2)c1,476.7,17.857
